Running 15s test @ http://169.254.90.222:8080/jsonVapor
  2 threads and 10 connections
  Thread calibration: mean lat.: 61.711ms, rate sampling interval: 150ms
  Thread calibration: mean lat.: 63.643ms, rate sampling interval: 155ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    65.46ms   12.50ms 136.83ms   75.00%
    Req/Sec    49.75     11.99    73.00     63.08%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   67.14ms
 75.000%   73.47ms
 90.000%   78.72ms
 99.000%   89.86ms
 99.900%  136.96ms
 99.990%  136.96ms
 99.999%  136.96ms
100.000%  136.96ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      29.503     0.000000            1         1.00
      46.463     0.100000           50         1.11
      56.607     0.200000          100         1.25
      62.111     0.300000          150         1.43
      64.959     0.400000          200         1.67
      67.135     0.500000          250         2.00
      68.031     0.550000          276         2.22
      69.119     0.600000          302         2.50
      70.591     0.650000          326         2.86
      72.063     0.700000          352         3.33
      73.471     0.750000          375         4.00
      73.855     0.775000          388         4.44
      74.303     0.800000          401         5.00
      74.943     0.825000          413         5.71
      76.287     0.850000          426         6.67
      76.927     0.875000          439         8.00
      77.503     0.887500          444         8.89
      78.719     0.900000          450        10.00
      79.551     0.912500          457        11.43
      80.383     0.925000          464        13.33
      80.959     0.937500          469        16.00
      81.855     0.943750          472        17.78
      82.303     0.950000          476        20.00
      83.327     0.956250          479        22.86
      83.775     0.962500          482        26.67
      84.735     0.968750          485        32.00
      85.183     0.971875          486        35.56
      85.503     0.975000          488        40.00
      86.719     0.978125          490        45.71
      86.847     0.981250          491        53.33
      87.935     0.984375          493        64.00
      87.935     0.985938          493        71.11
      88.383     0.987500          494        80.00
      89.855     0.989062          495        91.43
      91.327     0.990625          496       106.67
      92.991     0.992188          497       128.00
      92.991     0.992969          497       142.22
      92.991     0.993750          497       160.00
      93.951     0.994531          498       182.86
      93.951     0.995313          498       213.33
      99.711     0.996094          499       256.00
      99.711     0.996484          499       284.44
      99.711     0.996875          499       320.00
      99.711     0.997266          499       365.71
      99.711     0.997656          499       426.67
     136.959     0.998047          500       512.00
     136.959     1.000000          500          inf
#[Mean    =       65.458, StdDeviation   =       12.501]
#[Max     =      136.832, Total count    =          500]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1502 requests in 15.06s, 10.05MB read
Requests/sec:     99.72
Transfer/sec:    683.47KB
