Running 5m test @ http://169.254.32.152:8081/jsonShortPerfect
  2 threads and 5 connections
  Thread calibration: mean lat.: 3.332ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 3.241ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     2.12ms    5.86ms 120.38ms   97.67%
    Req/Sec     2.40k   344.60     5.78k    85.93%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.38ms
 75.000%    1.87ms
 90.000%    2.27ms
 99.000%   27.79ms
 99.900%   89.21ms
 99.990%  108.99ms
 99.999%  118.59ms
100.000%  120.45ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.208     0.000000            1         1.00
       0.589     0.100000       131729         1.11
       0.799     0.200000       263257         1.25
       1.000     0.300000       394618         1.43
       1.194     0.400000       525957         1.67
       1.382     0.500000       657330         2.00
       1.475     0.550000       723307         2.22
       1.568     0.600000       789003         2.50
       1.663     0.650000       854850         2.86
       1.763     0.700000       920473         3.33
       1.869     0.750000       986008         4.00
       1.923     0.775000      1018536         4.44
       1.979     0.800000      1051627         5.00
       2.038     0.825000      1084286         5.71
       2.103     0.850000      1117813         6.67
       2.177     0.875000      1150336         8.00
       2.221     0.887500      1166723         8.89
       2.273     0.900000      1182818        10.00
       2.341     0.912500      1199617        11.43
       2.427     0.925000      1215935        13.33
       2.545     0.937500      1232252        16.00
       2.627     0.943750      1240334        17.78
       2.743     0.950000      1248603        20.00
       2.967     0.956250      1256780        22.86
       3.511     0.962500      1264963        26.67
       4.703     0.968750      1273169        32.00
       5.695     0.971875      1277278        35.56
       7.047     0.975000      1281379        40.00
       8.879     0.978125      1285487        45.71
      11.527     0.981250      1289598        53.33
      15.167     0.984375      1293702        64.00
      17.695     0.985938      1295760        71.11
      21.151     0.987500      1297810        80.00
      25.151     0.989062      1299861        91.43
      29.567     0.990625      1301912       106.67
      34.847     0.992188      1303971       128.00
      37.791     0.992969      1304996       142.22
      40.511     0.993750      1306022       160.00
      43.327     0.994531      1307053       182.86
      46.943     0.995313      1308081       213.33
      52.447     0.996094      1309105       256.00
      56.351     0.996484      1309614       284.44
      60.319     0.996875      1310129       320.00
      64.063     0.997266      1310640       365.71
      67.391     0.997656      1311153       426.67
      71.039     0.998047      1311666       512.00
      73.151     0.998242      1311927       568.89
      75.647     0.998437      1312180       640.00
      79.615     0.998633      1312437       731.43
      84.031     0.998828      1312694       853.33
      89.983     0.999023      1312952      1024.00
      92.607     0.999121      1313078      1137.78
      95.679     0.999219      1313209      1280.00
      97.599     0.999316      1313338      1462.86
      99.199     0.999414      1313466      1706.67
     100.735     0.999512      1313594      2048.00
     101.567     0.999561      1313657      2275.56
     102.463     0.999609      1313721      2560.00
     103.487     0.999658      1313785      2925.71
     104.639     0.999707      1313852      3413.33
     105.599     0.999756      1313913      4096.00
     106.175     0.999780      1313947      4551.11
     106.623     0.999805      1313980      5120.00
     107.135     0.999829      1314014      5851.43
     107.583     0.999854      1314040      6826.67
     108.159     0.999878      1314073      8192.00
     108.607     0.999890      1314090      9102.22
     109.055     0.999902      1314107     10240.00
     109.695     0.999915      1314120     11702.86
     110.463     0.999927      1314136     13653.33
     111.871     0.999939      1314152     16384.00
     112.831     0.999945      1314160     18204.44
     113.791     0.999951      1314169     20480.00
     114.687     0.999957      1314176     23405.71
     115.519     0.999963      1314184     27306.67
     116.287     0.999969      1314192     32768.00
     116.735     0.999973      1314196     36408.89
     117.055     0.999976      1314201     40960.00
     117.375     0.999979      1314205     46811.43
     117.695     0.999982      1314209     54613.33
     117.887     0.999985      1314212     65536.00
     118.143     0.999986      1314214     72817.78
     118.335     0.999988      1314216     81920.00
     118.399     0.999989      1314218     93622.86
     118.655     0.999991      1314221    109226.67
     118.719     0.999992      1314222    131072.00
     118.911     0.999993      1314224    145635.56
     118.911     0.999994      1314224    163840.00
     119.039     0.999995      1314225    187245.71
     119.103     0.999995      1314226    218453.33
     119.423     0.999996      1314227    262144.00
     119.743     0.999997      1314228    291271.11
     119.743     0.999997      1314228    327680.00
     119.999     0.999997      1314229    374491.43
     119.999     0.999998      1314229    436906.67
     120.063     0.999998      1314230    524288.00
     120.063     0.999998      1314230    582542.22
     120.063     0.999998      1314230    655360.00
     120.319     0.999999      1314231    748982.86
     120.319     0.999999      1314231    873813.33
     120.319     0.999999      1314231   1048576.00
     120.319     0.999999      1314231   1165084.44
     120.319     0.999999      1314231   1310720.00
     120.447     0.999999      1314232   1497965.71
     120.447     1.000000      1314232          inf
#[Mean    =        2.122, StdDeviation   =        5.864]
#[Max     =      120.384, Total count    =      1314232]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1359581 requests in 5.00m, 197.08MB read
Requests/sec:   4531.93
Transfer/sec:    672.71KB

 >> |2017/09/08 17:49:03|Json2PerfectClientWrk2V1|Perfect JSON benchmarking
wrk2 -t2 -d5m -c5 --latency -R4533 --timeout 100s http://169.254.32.152:8081/jsonShortPerfect
