Running 2m test @ http://169.254.32.152:8080/jsonVapor
  2 threads and 5 connections
  Thread calibration: mean lat.: 39.531ms, rate sampling interval: 91ms
  Thread calibration: mean lat.: 39.555ms, rate sampling interval: 91ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    38.70ms    5.50ms 135.42ms   74.61%
    Req/Sec    29.67     10.14    44.00     67.67%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   38.17ms
 75.000%   41.53ms
 90.000%   45.22ms
 99.000%   49.18ms
 99.900%   93.63ms
 99.990%  117.18ms
 99.999%  135.55ms
100.000%  135.55ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      27.695     0.000000            1         1.00
      33.087     0.100000          672         1.11
      34.239     0.200000         1329         1.25
      35.263     0.300000         1984         1.43
      36.607     0.400000         2646         1.67
      38.175     0.500000         3301         2.00
      38.879     0.550000         3645         2.22
      39.519     0.600000         3976         2.50
      40.095     0.650000         4295         2.86
      40.767     0.700000         4626         3.33
      41.535     0.750000         4954         4.00
      42.111     0.775000         5123         4.44
      42.815     0.800000         5285         5.00
      43.519     0.825000         5448         5.71
      44.095     0.850000         5611         6.67
      44.639     0.875000         5780         8.00
      44.959     0.887500         5872         8.89
      45.215     0.900000         5949        10.00
      45.471     0.912500         6030        11.43
      45.791     0.925000         6114        13.33
      46.111     0.937500         6192        16.00
      46.303     0.943750         6231        17.78
      46.527     0.950000         6270        20.00
      46.815     0.956250         6315        22.86
      47.039     0.962500         6353        26.67
      47.391     0.968750         6397        32.00
      47.583     0.971875         6420        35.56
      47.679     0.975000         6435        40.00
      47.807     0.978125         6458        45.71
      48.031     0.981250         6479        53.33
      48.255     0.984375         6499        64.00
      48.415     0.985938         6508        71.11
      48.607     0.987500         6518        80.00
      48.863     0.989062         6528        91.43
      49.471     0.990625         6540       106.67
      50.527     0.992188         6549       128.00
      50.879     0.992969         6554       142.22
      52.255     0.993750         6559       160.00
      53.151     0.994531         6564       182.86
      53.759     0.995313         6570       213.33
      56.927     0.996094         6575       256.00
      61.631     0.996484         6577       284.44
      69.183     0.996875         6580       320.00
      71.103     0.997266         6582       365.71
      76.735     0.997656         6585       426.67
      86.271     0.998047         6588       512.00
      89.663     0.998242         6589       568.89
      90.303     0.998437         6590       640.00
      90.751     0.998633         6591       731.43
      93.631     0.998828         6593       853.33
      97.919     0.999023         6594      1024.00
      98.495     0.999121         6595      1137.78
      98.495     0.999219         6595      1280.00
     104.639     0.999316         6596      1462.86
     106.943     0.999414         6597      1706.67
     106.943     0.999512         6597      2048.00
     116.351     0.999561         6598      2275.56
     116.351     0.999609         6598      2560.00
     116.351     0.999658         6598      2925.71
     117.183     0.999707         6599      3413.33
     117.183     0.999756         6599      4096.00
     117.183     0.999780         6599      4551.11
     117.183     0.999805         6599      5120.00
     117.183     0.999829         6599      5851.43
     135.551     0.999854         6600      6826.67
     135.551     1.000000         6600          inf
#[Mean    =       38.696, StdDeviation   =        5.501]
#[Max     =      135.424, Total count    =         6600]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  7202 requests in 2.00m, 48.20MB read
Requests/sec:     60.00
Transfer/sec:    411.20KB

 >> |2017/09/07 17:46:12|JsonVaporClientWrk2V1|Vapor JSON benchmarking / Business case
wrk2 -t2 -d2m -c5 --latency -R60 --timeout 100s http://169.254.32.152:8080/jsonVapor
