Stats
Avg,Stdev,Max,Stdev
8.00ms,2.78ms,17.28ms,68.49%,Latency,Perfect
53.28,287.61,2.00k,96.49%,Req/Sec,Perfect
10.82s,6.16s,24.51s,55.77%,Latency,Vapor
18.22,1.01,21.00,93.72%,Req/Sec,Vapor
2.50ms,694.76us,5.38ms,67.86%,Latency,Kitura
59.24,98.91,333.00,75.44%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
8.00ms,2.78ms,17.28ms,68.49%,Latency,Perfect
53.28,287.61,2.00k,96.49%,Req/Sec,Perfect
10.82s,6.16s,24.51s,55.77%,Latency,Vapor
18.22,1.01,21.00,93.72%,Req/Sec,Vapor
2.50ms,694.76us,5.38ms,67.86%,Latency,Kitura
59.24,98.91,333.00,75.44%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
8.00ms,2.78ms,17.28ms,68.49%,Latency,Perfect
53.28,287.61,2.00k,96.49%,Req/Sec,Perfect
2.70ms,696.83us,5.62ms,68.79%,Latency,Vapor
38.78,84.05,333.00,83.77%,Req/Sec,Vapor
2.50ms,694.76us,5.38ms,67.86%,Latency,Kitura
59.24,98.91,333.00,75.44%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
8.00ms,2.78ms,17.28ms,68.49%,Latency,Perfect
53.28,287.61,2.00k,96.49%,Req/Sec,Perfect
2.70ms,696.83us,5.62ms,68.79%,Latency,Vapor
38.78,84.05,333.00,83.77%,Req/Sec,Vapor
2.50ms,694.76us,5.38ms,67.86%,Latency,Kitura
59.24,98.91,333.00,75.44%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
8.00ms,2.78ms,17.28ms,68.49%,Latency,Perfect
53.28,287.61,2.00k,96.49%,Req/Sec,Perfect
2.70ms,696.83us,5.62ms,68.79%,Latency,Vapor
38.78,84.05,333.00,83.77%,Req/Sec,Vapor
2.50ms,694.76us,5.38ms,67.86%,Latency,Kitura
59.24,98.91,333.00,75.44%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
8.00ms,2.78ms,17.28ms,68.49%,Latency,Perfect
53.28,287.61,2.00k,96.49%,Req/Sec,Perfect
2.70ms,696.83us,5.62ms,68.79%,Latency,Vapor
38.78,84.05,333.00,83.77%,Req/Sec,Vapor
2.50ms,694.76us,5.38ms,67.86%,Latency,Kitura
59.24,98.91,333.00,75.44%,Req/Sec,Kitura
