Stats
Avg,Stdev,Max,Stdev
9.65ms,2.97ms,23.84ms,67.26%,Latency,Perfect
266.27,0.91k,4.45k,91.82%,Req/Sec,Perfect
6.21ms,2.04ms,13.22ms,68.41%,Latency,Vapor
70.22,303.36,1.74k,94.83%,Req/Sec,Vapor
11.42ms,3.05ms,154.24ms,76.40%,Latency,Kitura
265.30,0.87k,4.00k,91.65%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
9.65ms,2.97ms,23.84ms,67.26%,Latency,Perfect
266.27,0.91k,4.45k,91.82%,Req/Sec,Perfect
6.21ms,2.04ms,13.22ms,68.41%,Latency,Vapor
70.22,303.36,1.74k,94.83%,Req/Sec,Vapor
5.83ms,2.14ms,13.85ms,69.57%,Latency,Vapor
69.24,292.00,1.57k,94.61%,Req/Sec,Vapor
11.42ms,3.05ms,154.24ms,76.40%,Latency,Kitura
265.30,0.87k,4.00k,91.65%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
9.65ms,2.97ms,23.84ms,67.26%,Latency,Perfect
266.27,0.91k,4.45k,91.82%,Req/Sec,Perfect
6.21ms,2.04ms,13.22ms,68.41%,Latency,Vapor
70.22,303.36,1.74k,94.83%,Req/Sec,Vapor
11.42ms,3.05ms,154.24ms,76.40%,Latency,Kitura
265.30,0.87k,4.00k,91.65%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
9.65ms,2.97ms,23.84ms,67.26%,Latency,Perfect
266.27,0.91k,4.45k,91.82%,Req/Sec,Perfect
6.21ms,2.04ms,13.22ms,68.41%,Latency,Vapor
70.22,303.36,1.74k,94.83%,Req/Sec,Vapor
5.83ms,2.14ms,13.85ms,69.57%,Latency,Vapor
69.24,292.00,1.57k,94.61%,Req/Sec,Vapor
11.42ms,3.05ms,154.24ms,76.40%,Latency,Kitura
265.30,0.87k,4.00k,91.65%,Req/Sec,Kitura
