Stats
CPU,Threads,Memory,Framework
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
0.0,3,1364.0,Perfect
2.7,4,1508.0,Perfect
5.4,7,1756.0,Perfect
4.2,7,1764.0,Perfect
5.0,8,1792.0,Perfect
5.1,9,1808.0,Perfect
5.1,9,1820.0,Perfect
5.1,9,1836.0,Perfect
5.1,9,1848.0,Perfect
5.2,9,1864.0,Perfect
5.2,9,1880.0,Perfect
5.1,9,1892.0,Perfect
4.7,9,1912.0,Perfect
5.1,9,1928.0,Perfect
5.1,9,1936.0,Perfect
5.0,9,1952.0,Perfect
5.1,11,1992.0,Perfect
5.1,11,2004.0,Perfect
5.2,11,2044.0,Perfect
5.0,11,2056.0,Perfect
5.1,11,2072.0,Perfect
5.2,11,2084.0,Perfect
4.5,11,2084.0,Perfect
5.1,10,2076.0,Perfect
4.8,11,2088.0,Perfect
5.2,11,2092.0,Perfect
5.2,11,2116.0,Perfect
5.0,11,2124.0,Perfect
5.0,11,2136.0,Perfect
4.6,11,2148.0,Perfect
4.7,11,2156.0,Perfect
4.9,11,2168.0,Perfect
5.7,11,2192.0,Perfect
3.8,11,2216.0,Perfect
5.1,11,2224.0,Perfect
5.2,11,2232.0,Perfect
5.2,11,2244.0,Perfect
5.2,11,2252.0,Perfect
5.2,11,2256.0,Perfect
5.1,11,2264.0,Perfect
5.4,11,2276.0,Perfect
5.1,11,2280.0,Perfect
4.6,11,2288.0,Perfect
5.2,11,2292.0,Perfect
5.1,11,2300.0,Perfect
5.1,11,2296.0,Perfect
5.1,11,2296.0,Perfect
5.1,11,2296.0,Perfect
5.1,11,2300.0,Perfect
5.1,12,2320.0,Perfect
5.1,12,2320.0,Perfect
5.1,12,2328.0,Perfect
4.6,12,2332.0,Perfect
5.2,12,2336.0,Perfect
5.1,9,2300.0,Perfect
5.0,9,2300.0,Perfect
4.5,9,2308.0,Perfect
4.8,9,2308.0,Perfect
5.0,9,2308.0,Perfect
4.8,9,2308.0,Perfect
4.9,9,2308.0,Perfect
4.7,8,2296.0,Perfect
5.4,9,2308.0,Perfect
4.5,10,2308.0,Perfect
5.3,1.0,2308.0,Perfect
5.3,10,2308.0,Perfect
5.0,10,2308.0,Perfect
5.2,10,2308.0,Perfect
5.3,10,2308.0,Perfect
5.2,9,2308.0,Perfect
5.1,9,2308.0,Perfect
5.2,9,2308.0,Perfect
4.8,9,2308.0,Perfect
5.2,9,2308.0,Perfect
5.1,9,2308.0,Perfect
5.1,9,2308.0,Perfect
5.1,9,2308.0,Perfect
5.0,10,2316.0,Perfect
5.1,10,2316.0,Perfect
5.2,10,2316.0,Perfect
5.1,10,2316.0,Perfect
